dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total,last_updated
17543,-0.018,-2.235,"Kim, Michael",0.125,0.054,-0.197,0.195,0.178,2026-03-30 17:23:01 UTC
21756,-0.048,-3.771,"Cole, Eric",0.096,0.28,-0.542,0.342,0.177,2026-03-30 17:23:01 UTC
21688,0.011,0.839,"Kim, S.H.",-0.346,0.067,0.118,0.324,0.164,2026-03-30 17:23:01 UTC
14509,0.086,-6.919,"Dahmen, Joel",0.267,-0.143,0.347,-0.312,0.159,2026-03-30 17:23:01 UTC
14792,0.046,-2.176,"Saddier, Adrien",-0.033,-0.04,0.241,-0.01,0.158,2026-03-30 17:23:01 UTC
18424,0.025,1.708,"Roy, Kevin",-0.179,0.076,0.19,0.07,0.156,2026-03-30 17:23:01 UTC
5689,0.049,-2.098,"Garcia, Sergio",0.161,-0.005,0.218,-0.234,0.14,2026-03-30 17:23:01 UTC
31343,0.056,2.218,"Ford, David",-0.006,-0.169,0.478,-0.167,0.136,2026-03-30 17:23:01 UTC
26657,-0.006,5.67,"Fisk, Steven",0.008,0.072,0.155,-0.102,0.133,2026-03-30 17:23:01 UTC
12423,0.018,-1.94,"Kirk, Chris",0.246,0.023,0.046,-0.183,0.132,2026-03-30 17:23:01 UTC
21646,0.067,-4.928,"Ferguson, Ewen",0.095,-0.201,0.142,0.079,0.115,2026-03-30 17:23:01 UTC
6892,0.002,-0.564,"Howell III, Charles",-0.234,0.148,0.125,0.073,0.112,2026-03-30 17:23:01 UTC
26653,0.024,-0.577,"Eckroat, Austin",0.301,-0.256,0.136,-0.074,0.108,2026-03-30 17:23:01 UTC
7672,0.066,-11.25,"Oosthuizen, Louis",0.046,0.045,-0.052,0.056,0.094,2026-03-30 17:23:01 UTC
14704,0.104,-22.012,"Putnam, Andrew",0.024,0.357,-0.482,0.195,0.094,2026-03-30 17:23:01 UTC
14459,-0.063,6.407,"An, Byeong Hun",-0.012,0.149,0.151,-0.201,0.087,2026-03-30 17:23:01 UTC
19840,0.007,-2.755,"Ramey, Chad",-0.139,-0.029,-0.065,0.317,0.084,2026-03-30 17:23:01 UTC
20722,-0.042,8.498,"Schmid, Matti",-0.088,-0.08,0.139,0.112,0.084,2026-03-30 17:23:01 UTC
26193,0.006,5.327,"Ding, Wenyi",-0.234,-0.023,0.305,0.009,0.057,2026-03-30 17:23:01 UTC
12413,-0.01,0.403,"Lee, Richard",-0.08,-0.054,0.053,0.127,0.046,2026-03-30 17:23:01 UTC
15651,-0.001,4.232,"Ventura, Kris",-0.218,-0.155,0.177,0.236,0.04,2026-03-30 17:23:01 UTC
14016,0.002,-3.449,"Campillo, Jorge",0.221,0.058,-0.168,-0.08,0.032,2026-03-30 17:23:01 UTC
23816,0.017,-5.966,"Valimaki, Sami",0.136,-0.074,-0.306,0.27,0.026,2026-03-30 17:23:01 UTC
20730,0.014,-0.215,"Perez, Victor",-0.105,-0.055,0.033,0.146,0.019,2026-03-30 17:23:01 UTC
17881,-0.012,6.828,"Yu, Kevin",-0.005,-0.021,0.188,-0.144,0.018,2026-03-30 17:23:01 UTC
16395,0.082,-9.278,"Kohles, Ben",0.431,-0.096,0.129,-0.446,0.018,2026-03-30 17:23:01 UTC
25908,-0.065,1.076,"Whaley, Vince",-0.211,0.128,-0.412,0.503,0.007,2026-03-30 17:23:01 UTC
14559,0.001,-0.818,"Vincent, Scott",-0.253,-0.09,-0.026,0.376,0.006,2026-03-30 17:23:01 UTC
7655,0.065,-6.256,"Molinari, Francesco",0.247,-0.077,0.163,-0.329,0.004,2026-03-30 17:23:01 UTC
15326,0.034,-10.794,"Sullivan, Andy",0.066,0.015,-0.177,0.097,-0.0,2026-03-30 17:23:01 UTC
27900,-0.05,22.882,"Potgieter, Aldrich",-0.079,-0.324,0.625,-0.237,-0.014,2026-03-30 17:23:01 UTC
20766,0.037,-5.04,"Brown, Dan",0.135,-0.167,0.014,-0.003,-0.021,2026-03-30 17:23:01 UTC
15470,-0.033,-1.734,"Hossler, Beau",-0.347,0.304,-0.327,0.348,-0.022,2026-03-30 17:23:01 UTC
27811,0.028,-2.838,"Couvra, Martin",-0.099,-0.049,0.123,0.002,-0.024,2026-03-30 17:23:01 UTC
10201,-0.011,-0.021,"Guerrier, Julien",-0.022,-0.008,-0.043,0.035,-0.038,2026-03-30 17:23:01 UTC
15980,0.037,-10.611,"Lipsky, David",0.077,0.128,-0.27,0.026,-0.039,2026-03-30 17:23:01 UTC
26850,-0.033,15.301,"Svensson, Jesper",0.002,-0.088,0.413,-0.375,-0.048,2026-03-30 17:23:01 UTC
30463,-0.043,9.379,"Surratt, Caleb",-0.283,-0.17,0.161,0.241,-0.052,2026-03-30 17:23:01 UTC
12808,0.067,-6.626,"Grillo, Emiliano",0.072,-0.158,0.1,-0.066,-0.052,2026-03-30 17:23:01 UTC
25002,0.015,-2.743,"Wu, Dylan",0.008,0.031,0.003,-0.097,-0.055,2026-03-30 17:23:01 UTC
29971,0.043,-0.208,"Bradbury, Dan",0.274,-0.336,0.162,-0.163,-0.064,2026-03-30 17:23:01 UTC
11049,-0.002,-1.819,"Simpson, Webb",-0.053,0.173,-0.225,0.007,-0.097,2026-03-30 17:23:01 UTC
19729,0.077,-9.288,"Kanaya, Takumi",-0.538,0.159,-0.006,0.283,-0.102,2026-03-30 17:23:01 UTC
14795,0.035,3.209,"Canter, Laurie",-0.047,-0.303,0.485,-0.252,-0.116,2026-03-30 17:23:01 UTC
24200,0.003,1.371,"Smylie, Elvis",-0.26,-0.022,-0.033,0.175,-0.138,2026-03-30 17:23:01 UTC
27820,0.059,-10.376,"Pak, John",0.119,-0.018,-0.024,-0.215,-0.139,2026-03-30 17:23:01 UTC
18105,0.01,-2.347,"Lawrence, Thriston",0.078,-0.162,0.054,-0.111,-0.141,2026-03-30 17:23:01 UTC
14987,0.048,-3.76,"Laporta, Francesco",-0.12,0.017,0.126,-0.179,-0.156,2026-03-30 17:23:01 UTC
12422,-0.028,3.937,"Johnson, Dustin",-0.239,-0.018,-0.09,0.19,-0.157,2026-03-30 17:23:01 UTC
17639,0.067,-17.382,"Blair, Zac",0.339,-0.032,-0.311,-0.157,-0.161,2026-03-30 17:23:01 UTC
25442,-0.078,-3.738,"Montgomery, Taylor",-0.278,0.267,-0.772,0.612,-0.172,2026-03-30 17:23:01 UTC
11276,-0.025,-3.375,"Horschel, Billy",0.004,0.071,-0.361,0.114,-0.172,2026-03-30 17:23:01 UTC
18027,0.069,-2.22,"Kimsey, Nathan",-0.295,-0.06,0.309,-0.135,-0.181,2026-03-30 17:23:01 UTC
14698,-0.036,11.194,"Bramlett, Joseph",0.014,0.091,0.253,-0.539,-0.181,2026-03-30 17:23:01 UTC
13997,0.033,-8.159,"Svensson, Adam",0.25,0.121,-0.142,-0.412,-0.182,2026-03-30 17:23:01 UTC
25611,-0.005,-2.571,"Olesen, Jacob Skov",-0.134,-0.093,-0.153,0.19,-0.189,2026-03-30 17:23:01 UTC
21074,0.006,0.481,"Nakajima, Keita",-0.0,-0.204,-0.015,0.017,-0.202,2026-03-30 17:23:01 UTC
20727,-0.064,5.574,"Coussaud, Ugo",-0.154,-0.075,-0.062,0.09,-0.202,2026-03-30 17:23:01 UTC
24342,-0.038,5.674,"Higgo, Garrick",-0.256,-0.046,0.058,0.024,-0.22,2026-03-30 17:23:01 UTC
25131,-0.044,-0.784,"Hill, Calum",-0.323,0.022,-0.425,0.506,-0.222,2026-03-30 17:23:01 UTC
12669,0.029,-6.002,"Lahiri, Anirban",-0.144,0.043,0.028,-0.149,-0.222,2026-03-30 17:23:01 UTC
17813,-0.011,-3.353,"Armitage, Marcus",0.033,0.14,-0.218,-0.185,-0.23,2026-03-30 17:23:01 UTC
7398,-0.019,-3.582,"Schwartzel, Charl",0.013,0.058,-0.448,0.132,-0.245,2026-03-30 17:23:01 UTC
19960,-0.0,0.143,"Pavon, Matthieu",-0.379,-0.122,-0.017,0.271,-0.247,2026-03-30 17:23:01 UTC
13508,-0.034,4.629,"Vegas, Jhonattan",-0.008,-0.084,0.01,-0.168,-0.25,2026-03-30 17:23:01 UTC
12337,-0.012,1.234,"Kokrak, Jason",-0.1,-0.166,-0.127,0.143,-0.25,2026-03-30 17:23:01 UTC
23733,0.013,0.787,"LaCroix, Frederic",0.101,-0.194,0.092,-0.255,-0.257,2026-03-30 17:23:01 UTC
23656,0.037,-7.009,"Young, Carson",-0.031,-0.167,-0.005,-0.065,-0.268,2026-03-30 17:23:01 UTC
24304,-0.065,4.812,"Vilips, Karl",-0.035,-0.074,-0.251,0.091,-0.269,2026-03-30 17:23:01 UTC
25601,-0.022,-2.777,"Jordan, Matthew",-0.278,0.081,-0.218,0.141,-0.274,2026-03-30 17:23:01 UTC
20084,-0.066,19.159,"Lindberg, Mikael",-0.473,-0.164,0.471,-0.109,-0.275,2026-03-30 17:23:01 UTC
18770,-0.033,2.993,"Rozner, Antoine",0.119,-0.115,-0.204,-0.085,-0.285,2026-03-30 17:23:01 UTC
15004,0.028,-3.495,"Kim, Chan",-0.018,0.075,-0.035,-0.324,-0.303,2026-03-30 17:23:01 UTC
10943,0.01,-6.349,"Lashley, Nate",0.016,-0.013,-0.18,-0.13,-0.307,2026-03-30 17:23:01 UTC
22736,0.017,3.975,"Rosenmueller, Thomas",0.127,-0.271,0.224,-0.387,-0.308,2026-03-30 17:23:01 UTC
13965,0.0,0.079,"Hadwin, Adam",-0.281,-0.068,0.04,-0.0,-0.31,2026-03-30 17:23:01 UTC
7108,0.022,-2.566,"Casey, Paul",0.162,-0.076,-0.216,-0.183,-0.312,2026-03-30 17:23:01 UTC
6986,0.074,-17.745,"Johnson, Zach",-0.161,0.044,-0.402,0.206,-0.312,2026-03-30 17:23:01 UTC
15475,0.038,-7.124,"Pan, C.T.",-0.15,0.162,-0.184,-0.148,-0.32,2026-03-30 17:23:01 UTC
6169,0.063,-19.226,"Kuchar, Matt",-0.205,0.141,-0.52,0.264,-0.321,2026-03-30 17:23:01 UTC
16333,0.006,-5.611,"Hubbard, Mark",-0.051,-0.015,-0.202,-0.053,-0.321,2026-03-30 17:23:01 UTC
