am,country,datagolf_rank,dg_id,dg_skill_estimate,owgr_rank,player_name,primary_tour,last_updated
0,USA,300,22986,-0.628008907954972,365,"Tuten, Shad",KFT,2026-03-30 11:59:12 UTC
0,GER,301,22087,-0.628778837141618,307,"Paul, Jeremy",PGA,2026-03-30 11:59:12 UTC
0,AUT,302,9531,-0.629138356006355,355,"Wiesberger, Bernd",EURO,2026-03-30 11:59:12 UTC
0,JPN,303,12232,-0.630153150139831,329,"Ishikawa, Ryo",JPN,2026-03-30 11:59:12 UTC
0,RSA,304,11955,-0.63632813685726,404,"Frittelli, Dylan",EURO,2026-03-30 11:59:12 UTC
0,JPN,305,24223,-0.637520647672692,264,"Sugiura, Yuta",JPN,2026-03-30 11:59:12 UTC
0,JPN,306,13485,-0.640792215545663,309,"Imahira, Shugo",JPN,2026-03-30 11:59:12 UTC
0,USA,307,8480,-0.641418479178101,413,"Streelman, Kevin",PGA,2026-03-30 11:59:12 UTC
0,USA,308,23542,-0.64582855001588,311,"Champ, Cameron",PGA,2026-03-30 11:59:12 UTC
0,RSA,309,17550,-0.646744024450514,158,"Van Rooyen, Erik",PGA,2026-03-30 11:59:12 UTC
0,THA,310,19844,-0.648990469767927,282,"Kaewkanjana, Sadom",EURO,2026-03-30 11:59:12 UTC
0,USA,311,14007,-0.650718135736272,418,"Martin, Ben",PGA,2026-03-30 11:59:12 UTC
0,AUS,312,19232,-0.653989583490232,218,"Smyth, Trav",ASA,2026-03-30 11:59:12 UTC
0,USA,313,11451,-0.659859771509057,391,"Garnett, Brice",PGA,2026-03-30 11:59:12 UTC
0,KOR,314,16162,-0.662197483430388,289,"Lee, S.T.",KFT,2026-03-30 11:59:12 UTC
0,ESP,315,26008,-0.668270029389294,281,"Elvira, Manuel",EURO,2026-03-30 11:59:12 UTC
0,JPN,316,15056,-0.672491387868217,336,"Horikawa, Mikumu",JPN,2026-03-30 11:59:12 UTC
0,USA,317,25771,-0.68244128769451,501,"Furr, Wilson",KFT,2026-03-30 11:59:12 UTC
